Supplemental Table 1- Geographic details of 508 Populus trichocarpa and P. balsamifera accessions and rationalle for exclusion from black cottonwood analyses,,,,,,,,,,,
Accession,Species,Drainage/Location name,Drainage numbera,Location code,Location numberb,Latitude,Longitude,Elevation,Included in 424 accession black cottonwood dataset,Rationalle for exclusion from 424 accession black cottonwood dataset,
STKF-5-1,Populus trichocarpa,Lower Stikine,5,STKF,8,57.65,-131.566667,85,yes,,
FKRB-6-1,Populus trichocarpa,Iskut,6,FKRB,9,56.733333,-130.633333,280,yes,,
ISKA-6-1,Populus trichocarpa,Iskut,6,ISKA,10,56.7,-131.15,73,yes,,
ISKA-6-2,Populus trichocarpa,Iskut,6,ISKA,10,56.7,-131.15,73,yes,,
ISKA-6-4,Populus trichocarpa,Iskut,6,ISKA,10,56.7,-131.15,73,yes,,
ISKA-6-5,Populus trichocarpa,Iskut,6,ISKA,10,56.7,-131.15,73,yes,,
ISKC-6-1,Populus trichocarpa,Iskut,6,ISKC,11,56.933333,-130.333333,317,yes,,
ISKC-6-2,Populus trichocarpa,Iskut,6,ISKC,11,56.933333,-130.333333,317,yes,,
ISKC-6-3,Populus trichocarpa,Iskut,6,ISKC,11,56.933333,-130.333333,317,yes,,
ISKC-6-5,Populus trichocarpa,Iskut,6,ISKC,11,56.933333,-130.333333,317,yes,,
IRVC-7-1,Populus trichocarpa,Bell-Irving,7,IRVC,12,56.733333,-129.733333,579,yes,,
IRVC-7-4,Populus trichocarpa,Bell-Irving,7,IRVC,12,56.733333,-129.733333,579,no,d<0.018 with other accession,
IRVC-7-5,Populus trichocarpa,Bell-Irving,7,IRVC,12,56.733333,-129.733333,579,yes,,
IRVC-7-6,Populus trichocarpa,Bell-Irving,7,IRVC,12,56.733333,-129.733333,579,yes,,
IRVD-7-4,Populus trichocarpa,Bell-Irving,7,IRVD,13,56.85,-129.616667,677,yes,,
TRTB-7-5,Populus trichocarpa,Bell-Irving,7,TRTB,14,56.566667,-129.816667,640,yes,,
TRTB-7-6,Populus trichocarpa,Bell-Irving,7,TRTB,14,56.566667,-129.816667,640,yes,,
TRTB-7-7,Populus trichocarpa,Bell-Irving,7,TRTB,14,56.566667,-129.816667,640,yes,,
NASC-8-2,Populus trichocarpa,Nass,8,NASC,15,55.05,-129.5,24,yes,,
NASC-8-5,Populus trichocarpa,Nass,8,NASC,15,55.05,-129.5,24,yes,,
NASD-8-2,Populus trichocarpa,Nass,8,NASD,16,55.216667,-129.133333,58,yes,,
NASD-8-4,Populus trichocarpa,Nass,8,NASD,16,55.216667,-129.133333,58,yes,,
NASD-8-5,Populus trichocarpa,Nass,8,NASD,16,55.216667,-129.133333,58,yes,,
NASF-8-2,Populus trichocarpa,Nass,8,NASF,17,55.566667,-128.783333,152,yes,,
NASH-8-1,Populus trichocarpa,Nass,8,NASH,18,55.716667,-128.816667,183,yes,,
NASH-8-4,Populus trichocarpa,Nass,8,NASH,18,55.716667,-128.816667,183,yes,,
NASH-8-5,Populus trichocarpa,Nass,8,NASH,18,55.716667,-128.816667,183,no,labeling problem,
KSPA-9-3,Populus trichocarpa,Kispiox,9,KSPA,137,55.766667,-128.533333,518,no,drainage with< 4 accessions,
CDRE-10-1,Populus trichocarpa,Skeena,10,CDRE,19,55.016667,-128.333333,152,yes,,
CDRE-10-3,Populus trichocarpa,Skeena,10,CDRE,19,55.016667,-128.333333,152,yes,,
CEDA-10-2,Populus trichocarpa,Skeena,10,CEDA,20,54.95,-128.916667,274,yes,,
CEDA-10-4,Populus trichocarpa,Skeena,10,CEDA,20,54.95,-128.916667,274,yes,,
HAZH-10-1,Populus trichocarpa,Skeena,10,HAZH,21,55.216667,-127.666667,238,yes,,
HAZH-10-2,Populus trichocarpa,Skeena,10,HAZH,21,55.216667,-127.666667,238,yes,,
HAZH-10-3,Populus trichocarpa,Skeena,10,HAZH,21,55.216667,-127.666667,238,yes,,
HAZH-10-5,Populus trichocarpa,Skeena,10,HAZH,21,55.216667,-127.666667,238,yes,,
KTSG-10-5,Populus trichocarpa,Skeena,10,KTSG,22,55.1,-127.916667,213,yes,,
KTWF-10-3,Populus trichocarpa,Skeena,10,KTWF,138,55.083333,-128.183333,177,no,labeling problem,
SKNB-10-1,Populus trichocarpa,Skeena,10,SKNB,23,54.683333,-128.383333,122,yes,,
SKNB-10-2,Populus trichocarpa,Skeena,10,SKNB,23,54.683333,-128.383333,122,yes,,
SKNC-10-1,Populus trichocarpa,Skeena,10,SKNC,24,54.766667,-128.266667,122,yes,,
SKNC-10-2,Populus trichocarpa,Skeena,10,SKNC,24,54.766667,-128.266667,122,yes,,
SKNC-10-4,Populus trichocarpa,Skeena,10,SKNC,24,54.766667,-128.266667,122,no,d<0.018 with other accession,
SKND-10-2,Populus trichocarpa,Skeena,10,SKND,139,54.85,-128.333333,140,no,labeling problem,
SKNL-10-1,Populus trichocarpa,Skeena,10,SKNL,25,54.45,-128.75,61,yes,,
SKNL-10-3,Populus trichocarpa,Skeena,10,SKNL,25,54.45,-128.75,61,yes,,
SKNL-10-4,Populus trichocarpa,Skeena,10,SKNL,25,54.45,-128.75,61,yes,,
SKNM-10-1,Populus trichocarpa,Skeena,10,SKNM,26,54.4,-128.983333,43,yes,,
SKNM-10-2,Populus trichocarpa,Skeena,10,SKNM,26,54.4,-128.983333,43,yes,,
SKNM-10-3,Populus trichocarpa,Skeena,10,SKNM,26,54.4,-128.983333,43,yes,,
SKNM-10-5,Populus trichocarpa,Skeena,10,SKNM,26,54.4,-128.983333,43,no,d<0.018 with other accession,
SKNM-10-6,Populus trichocarpa,Skeena,10,SKNM,26,54.4,-128.983333,43,no,d<0.018 with other accession,
SKNN-10-2,Populus trichocarpa,Skeena,10,SKNN,27,54.283333,-129.366667,30,no,labeling problem,
SKNN-10-3,Populus trichocarpa,Skeena,10,SKNN,27,54.283333,-129.366667,30,yes,,
SKNN-10-4,Populus trichocarpa,Skeena,10,SKNN,27,54.283333,-129.366667,30,no,d<0.018 with other accession,
SKNN-10-5,Populus trichocarpa,Skeena,10,SKNN,27,54.283333,-129.366667,30,yes,,
SKNO-10-2,Populus trichocarpa,Skeena,10,SKNO,28,54.216667,-129.533333,21,yes,,
SKNO-10-3,Populus trichocarpa,Skeena,10,SKNO,28,54.216667,-129.533333,21,yes,,
SKNO-10-4,Populus trichocarpa,Skeena,10,SKNO,28,54.216667,-129.533333,21,yes,,
SKNP-10-2,Populus trichocarpa,Skeena,10,SKNP,29,54.55,-128.466667,61,no,d<0.018 with other accession,
SKNP-10-3,Populus trichocarpa,Skeena,10,SKNP,29,54.55,-128.466667,61,yes,,
SKNP-10-4,Populus trichocarpa,Skeena,10,SKNP,29,54.55,-128.466667,61,yes,,
SKNP-10-8,Populus trichocarpa,Skeena,10,SKNP,29,54.55,-128.466667,61,no,labeling problem,
SKNP-10-9,Populus trichocarpa,Skeena,10,SKNP,29,54.55,-128.466667,61,yes,,
SKNP-10-10,Populus trichocarpa,Skeena,10,SKNP,29,54.55,-128.466667,61,yes,,
SKNP-10-11,Populus trichocarpa,Skeena,10,SKNP,29,54.55,-128.466667,61,yes,,
SKNQ-10-1,Populus trichocarpa,Skeena,10,SKNQ,30,54.583333,-128.416667,61,no,d<0.018 with other accession,
SKNQ-10-3,Populus trichocarpa,Skeena,10,SKNQ,30,54.583333,-128.416667,61,yes,,
SKNQ-10-4,Populus trichocarpa,Skeena,10,SKNQ,30,54.583333,-128.416667,61,yes,,
SKNR-10-1,Populus trichocarpa,Skeena,10,SKNR,31,54.683333,-128.35,244,yes,,
ZYMJ-10-1,Populus trichocarpa,Skeena,10,ZYMJ,32,54.466667,-127.933333,305,yes,,
ZYMJ-10-5,Populus trichocarpa,Skeena,10,ZYMJ,32,54.466667,-127.933333,305,yes,,
BULA-11-4,Populus trichocarpa,Bulkley,11,BULA,33,55.25,-127.5,311,yes,,
BULB-11-1,Populus trichocarpa,Bulkley,11,BULB,34,55.116667,-127.35,427,yes,,
BULF-11-2,Populus trichocarpa,Bulkley,11,BULF,35,54.55,-126.833333,561,yes,,
BULF-11-3,Populus trichocarpa,Bulkley,11,BULF,35,54.55,-126.833333,561,yes,,
BULF-11-4,Populus trichocarpa,Bulkley,11,BULF,35,54.55,-126.833333,561,yes,,
BULF-11-5,Populus trichocarpa,Bulkley,11,BULF,35,54.55,-126.833333,561,yes,,
BULG-11-2,Populus trichocarpa,Bulkley,11,BULG,36,54.45,-126.8,579,yes,,
BULG-11-4,Populus trichocarpa,Bulkley,11,BULG,36,54.45,-126.8,579,yes,,
BULG-11-5,Populus trichocarpa,Bulkley,11,BULG,36,54.45,-126.8,579,yes,,
TLKH-11-1,Populus trichocarpa,Bulkley,11,TLKH,37,54.666667,-127.116667,567,yes,,
TLKH-11-5,Populus trichocarpa,Bulkley,11,TLKH,37,54.666667,-127.116667,567,no,labeling problem,
TLKI-11-1,Populus trichocarpa,Bulkley,11,TLKI,140,54.616667,-127.5,735,no,d<0.018 with other accession,
HIRD-12-2,Populus trichocarpa,Kitimat,12,HIRD,38,54.066667,-128.45,335,yes,,
KTMA-12-1,Populus trichocarpa,Kitimat,12,KTMA,39,54.25,-128.516667,122,no,labeling problem,
KTMA-12-2,Populus trichocarpa,Kitimat,12,KTMA,39,54.25,-128.516667,122,yes,,
KTMA-12-3,Populus trichocarpa,Kitimat,12,KTMA,39,54.25,-128.516667,122,yes,,
KTMA-12-4,Populus trichocarpa,Kitimat,12,KTMA,39,54.25,-128.516667,122,no,labeling problem,
KTMA-12-5,Populus trichocarpa,Kitimat,12,KTMA,39,54.25,-128.516667,122,yes,,
KTMB-12-5,Populus trichocarpa,Kitimat,12,KTMB,40,54.15,-128.583333,61,yes,,
KTMC-12-1,Populus trichocarpa,Kitimat,12,KTMC,41,54.05,-128.683333,18,yes,,
KTMC-12-2,Populus trichocarpa,Kitimat,12,KTMC,41,54.05,-128.683333,18,yes,,
KTMC-12-3,Populus trichocarpa,Kitimat,12,KTMC,41,54.05,-128.683333,18,no,labeling problem,
KTMC-12-5,Populus trichocarpa,Kitimat,12,KTMC,41,54.05,-128.683333,18,yes,,
AMER-13-1,Populus trichocarpa,Stuart,13,AMER,141,54.633333,-124.966667,701,no,d<0.018 with other accession,
AMER-13-3,Populus trichocarpa,Stuart,13,AMER,141,54.633333,-124.966667,701,no,d<0.018 with other accession,
WFSH-13-6,Populus trichocarpa,Stuart,13,WFSH,142,54.6,-124.766667,686,no,drainage with< 4 accessions,
CHIL-14-2,Populus trichocarpa,Nechako,14,CHIL,143,54.883333,-122.983333,183,no,labeling problem,
NECA-14-1,Populus trichocarpa,Nechako,14,NECA,144,54.1,-124.433333,655,no,d<0.018 with other accession,
NECB-14-6,Populus trichocarpa,Nechako,14,NECB,145,53.95,-124.433333,671,no,d<0.018 with other accession,
STEL-14-1,Populus trichocarpa,Nechako,14,STEL,146,54.033333,-124.916667,701,no,drainage with< 4 accessions,
MCGR-15-4,Populus trichocarpa,McGregor,15,MCGR,42,54.183333,-122,579,yes,,
MCGR-15-6,Populus trichocarpa,McGregor,15,MCGR,42,54.183333,-122,579,yes,,
MCGR-15-7,Populus trichocarpa,McGregor,15,MCGR,42,54.183333,-122,579,yes,,
MCGR-15-8,Populus trichocarpa,McGregor,15,MCGR,42,54.183333,-122,579,yes,,
SHEL-15-1,Populus trichocarpa,McGregor,15,SHEL,43,54.033333,-122.6,564,yes,,
SHEL-15-2,Populus trichocarpa,McGregor,15,SHEL,43,54.033333,-122.6,564,yes,,
SHEL-15-3,Populus trichocarpa,McGregor,15,SHEL,43,54.033333,-122.6,564,yes,,
SHEL-15-4,Populus trichocarpa,McGregor,15,SHEL,43,54.033333,-122.6,564,yes,,
SHEL-15-5,Populus trichocarpa,McGregor,15,SHEL,43,54.033333,-122.6,564,no,labeling problem,
SHEL-15-6,Populus trichocarpa,McGregor,15,SHEL,43,54.033333,-122.6,564,yes,,
WLOW-15-1,Populus trichocarpa,McGregor,15,WLOW,44,53.916667,-122.283333,640,yes,,
WLOW-15-3,Populus trichocarpa,McGregor,15,WLOW,44,53.916667,-122.283333,640,yes,,
WLOW-15-4,Populus trichocarpa,McGregor,15,WLOW,44,53.916667,-122.283333,640,yes,,
WLOW-15-5,Populus trichocarpa,McGregor,15,WLOW,44,53.916667,-122.283333,640,yes,,
HIXN-16-1,Populus trichocarpa,Quesnel,16,HIXN,45,53.4,-122.633333,518,yes,,
HIXN-16-5,Populus trichocarpa,Quesnel,16,HIXN,45,53.4,-122.633333,518,yes,,
KIMB-16-1,Populus trichocarpa,Quesnel,16,KIMB,46,52.933333,-121.166667,823,yes,,
KIMB-16-2,Populus trichocarpa,Quesnel,16,KIMB,46,52.933333,-121.166667,823,no,labeling problem,
KIMB-16-3,Populus trichocarpa,Quesnel,16,KIMB,46,52.933333,-121.166667,823,yes,,
KIMB-16-4,Populus trichocarpa,Quesnel,16,KIMB,46,52.933333,-121.166667,823,yes,,
KIMB-16-5,Populus trichocarpa,Quesnel,16,KIMB,46,52.933333,-121.166667,823,yes,,
KIMB-16-6,Populus trichocarpa,Quesnel,16,KIMB,46,52.933333,-121.166667,823,yes,,
QAUS-16-1,Populus trichocarpa,Quesnel,16,QAUS,47,52.716667,-122.466667,442,yes,,
QAUS-16-3,Populus trichocarpa,Quesnel,16,QAUS,47,52.716667,-122.466667,442,yes,,
QAUS-16-4,Populus trichocarpa,Quesnel,16,QAUS,47,52.716667,-122.466667,442,yes,,
QAUS-16-7,Populus trichocarpa,Quesnel,16,QAUS,47,52.716667,-122.466667,442,yes,,
QBKR-16-2,Populus trichocarpa,Quesnel,16,QBKR,48,52.95,-122.866667,823,yes,,
QBKR-16-3,Populus trichocarpa,Quesnel,16,QBKR,48,52.95,-122.866667,823,yes,,
QBKR-16-4,Populus trichocarpa,Quesnel,16,QBKR,48,52.95,-122.866667,823,yes,,
QBKR-16-5,Populus trichocarpa,Quesnel,16,QBKR,48,52.95,-122.866667,823,yes,,
QCTN-16-1,Populus trichocarpa,Quesnel,16,QCTN,49,53.033333,-122.15,823,yes,,
QCTN-16-3,Populus trichocarpa,Quesnel,16,QCTN,49,53.033333,-122.15,823,yes,,
QCTN-16-4,Populus trichocarpa,Quesnel,16,QCTN,49,53.033333,-122.15,823,no,labeling problem,
QFRS-16-1,Populus trichocarpa,Quesnel,16,QFRS,50,53.066667,-122.516667,472,yes,,
QFRS-16-2,Populus trichocarpa,Quesnel,16,QFRS,50,53.066667,-122.516667,472,yes,,
QFRS-16-3,Populus trichocarpa,Quesnel,16,QFRS,50,53.066667,-122.516667,472,yes,,
QFRS-16-4,Populus trichocarpa,Quesnel,16,QFRS,50,53.066667,-122.516667,472,yes,,
QFRS-16-5,Populus trichocarpa,Quesnel,16,QFRS,50,53.066667,-122.516667,472,yes,,
QLKE-16-1,Populus trichocarpa,Quesnel,16,QLKE,51,52.966667,-122.316667,488,yes,,
QLKE-16-2,Populus trichocarpa,Quesnel,16,QLKE,51,52.966667,-122.316667,488,yes,,
QLKE-16-3,Populus trichocarpa,Quesnel,16,QLKE,51,52.966667,-122.316667,488,yes,,
QLKE-16-4,Populus trichocarpa,Quesnel,16,QLKE,51,52.966667,-122.316667,488,yes,,
DENA-17-1,Populus trichocarpa,Dean,17,DENA,52,52.766667,-126.616667,213,no,d<0.018 with other accession,
DENA-17-2,Populus trichocarpa,Dean,17,DENA,52,52.766667,-126.616667,213,yes,,
DENA-17-3,Populus trichocarpa,Dean,17,DENA,52,52.766667,-126.616667,213,no,d<0.018 with other accession,
DENA-17-4,Populus trichocarpa,Dean,17,DENA,52,52.766667,-126.616667,213,yes,,
DENB-17-1,Populus trichocarpa,Dean,17,DENB,53,52.833333,-126.7,152,yes,,
DENB-17-2,Populus trichocarpa,Dean,17,DENB,53,52.833333,-126.7,152,yes,,
DENB-17-3,Populus trichocarpa,Dean,17,DENB,53,52.833333,-126.7,152,yes,,
DENB-17-4,Populus trichocarpa,Dean,17,DENB,53,52.833333,-126.7,152,yes,,
DENC-17-2,Populus trichocarpa,Dean,17,DENC,54,52.833333,-126.8,91,yes,,
DENC-17-3,Populus trichocarpa,Dean,17,DENC,54,52.833333,-126.8,91,yes,,
DENC-17-4,Populus trichocarpa,Dean,17,DENC,54,52.833333,-126.8,91,yes,,
DENC-17-5,Populus trichocarpa,Dean,17,DENC,54,52.833333,-126.8,91,yes,,
DEND-17-1,Populus trichocarpa,Dean,17,DEND,55,52.816667,-126.95,27,yes,,
DEND-17-2,Populus trichocarpa,Dean,17,DEND,55,52.816667,-126.95,27,no,d<0.018 with other accession,
DEND-17-3,Populus trichocarpa,Dean,17,DEND,55,52.816667,-126.95,27,yes,,
DEND-17-4,Populus trichocarpa,Dean,17,DEND,55,52.816667,-126.95,27,yes,,
DEND-17-5,Populus trichocarpa,Dean,17,DEND,55,52.816667,-126.95,27,yes,,
BELA-18-1,Populus trichocarpa,Burke,18,BELA,56,52.416667,-126.166667,152,yes,,
BELA-18-2,Populus trichocarpa,Burke,18,BELA,56,52.416667,-126.166667,152,yes,,
BELA-18-3,Populus trichocarpa,Burke,18,BELA,56,52.416667,-126.166667,152,yes,,
BELA-18-4,Populus trichocarpa,Burke,18,BELA,56,52.416667,-126.166667,152,yes,,
BELA-18-5,Populus trichocarpa,Burke,18,BELA,56,52.416667,-126.166667,152,yes,,
BELC-18-1,Populus trichocarpa,Burke,18,BELC,57,52.383333,-126.6,135,yes,,
BELC-18-2,Populus trichocarpa,Burke,18,BELC,57,52.383333,-126.6,135,yes,,
BELC-18-3,Populus trichocarpa,Burke,18,BELC,57,52.383333,-126.6,135,yes,,
BELC-18-4,Populus trichocarpa,Burke,18,BELC,57,52.383333,-126.6,135,yes,,
BELC-18-5,Populus trichocarpa,Burke,18,BELC,57,52.383333,-126.6,135,yes,,
CHKC-19-1,Populus trichocarpa,Chuckwall,19,CHKC,58,51.733333,-127.316667,67,yes,,
CHKC-19-2,Populus trichocarpa,Chuckwall,19,CHKC,58,51.733333,-127.316667,67,yes,,
CHKC-19-3,Populus trichocarpa,Chuckwall,19,CHKC,58,51.733333,-127.316667,67,yes,,
CHKC-19-4,Populus trichocarpa,Chuckwall,19,CHKC,58,51.733333,-127.316667,67,yes,,
CHKD-19-1,Populus trichocarpa,Chuckwall,19,CHKD,59,51.766667,-127.2,79,yes,,
CHKD-19-2,Populus trichocarpa,Chuckwall,19,CHKD,59,51.766667,-127.2,79,yes,,
CHKD-19-3,Populus trichocarpa,Chuckwall,19,CHKD,59,51.766667,-127.2,79,yes,,
CHKD-19-4,Populus trichocarpa,Chuckwall,19,CHKD,59,51.766667,-127.2,79,yes,,
CHKD-19-5,Populus trichocarpa,Chuckwall,19,CHKD,59,51.766667,-127.2,79,yes,,
MCHA-19-1,Populus trichocarpa,Chuckwall,19,MCHA,60,51.633333,-126.683333,70,no,low GR,
MCHA-19-2,Populus trichocarpa,Chuckwall,19,MCHA,60,51.633333,-126.683333,70,no,low GR,
MCHA-19-3,Populus trichocarpa,Chuckwall,19,MCHA,60,51.633333,-126.683333,70,yes,,
MCHA-19-4,Populus trichocarpa,Chuckwall,19,MCHA,60,51.633333,-126.683333,70,yes,,
MCHA-19-5,Populus trichocarpa,Chuckwall,19,MCHA,60,51.633333,-126.683333,70,yes,,
MCHB-19-1,Populus trichocarpa,Chuckwall,19,MCHB,61,51.616667,-126.583333,122,yes,,
MCHB-19-2,Populus trichocarpa,Chuckwall,19,MCHB,61,51.616667,-126.583333,122,yes,,
MCHB-19-3,Populus trichocarpa,Chuckwall,19,MCHB,61,51.616667,-126.583333,122,yes,,
MCHB-19-4,Populus trichocarpa,Chuckwall,19,MCHB,61,51.616667,-126.583333,122,yes,,
MCHB-19-5,Populus trichocarpa,Chuckwall,19,MCHB,61,51.616667,-126.583333,122,yes,,
ALAA-20-1,Populus trichocarpa,Klinaklini,20,ALAA,62,50.983333,-126.116667,0,yes,,
ALAA-20-2,Populus trichocarpa,Klinaklini,20,ALAA,62,50.983333,-126.116667,0,yes,,
ALAA-20-3,Populus trichocarpa,Klinaklini,20,ALAA,62,50.983333,-126.116667,0,yes,,
ALAA-20-4,Populus trichocarpa,Klinaklini,20,ALAA,62,50.983333,-126.116667,0,yes,,
ALAA-20-5,Populus trichocarpa,Klinaklini,20,ALAA,62,50.983333,-126.116667,0,yes,,
KLNA-20-3,Populus trichocarpa,Klinaklini,20,KLNA,63,51.116667,-125.583333,30,yes,,
KLNA-20-4,Populus trichocarpa,Klinaklini,20,KLNA,63,51.116667,-125.583333,30,yes,,
KLNA-20-5,Populus trichocarpa,Klinaklini,20,KLNA,63,51.116667,-125.583333,30,yes,,
KLNB-20-2,Populus trichocarpa,Klinaklini,20,KLNB,64,51.3,-125.766667,137,yes,,
KLNB-20-3,Populus trichocarpa,Klinaklini,20,KLNB,64,51.3,-125.766667,137,yes,,
KLNC-20-2,Populus trichocarpa,Klinaklini,20,KLNC,65,51.533333,-125.55,427,yes,,
KLND-20-1,Populus trichocarpa,Klinaklini,20,KLND,66,51.566667,-125.5,427,yes,,
KLND-20-2,Populus trichocarpa,Klinaklini,20,KLND,66,51.566667,-125.5,427,yes,,
KLND-20-3,Populus trichocarpa,Klinaklini,20,KLND,66,51.566667,-125.5,427,yes,,
KLND-20-5,Populus trichocarpa,Klinaklini,20,KLND,66,51.566667,-125.5,427,yes,,
KLNE-20-1,Populus trichocarpa,Klinaklini,20,KLNE,67,51.733333,-125.566667,427,yes,,
KLNE-20-2,Populus trichocarpa,Klinaklini,20,KLNE,67,51.733333,-125.566667,427,yes,,
KLNE-20-3,Populus trichocarpa,Klinaklini,20,KLNE,67,51.733333,-125.566667,427,yes,,
KLNE-20-4,Populus trichocarpa,Klinaklini,20,KLNE,67,51.733333,-125.566667,427,yes,,
KLNE-20-5,Populus trichocarpa,Klinaklini,20,KLNE,67,51.733333,-125.566667,427,yes,,
KLNG-20-1,Populus trichocarpa,Klinaklini,20,KLNG,68,51.3,-125.766667,105,yes,,
KLNG-20-2,Populus trichocarpa,Klinaklini,20,KLNG,68,51.3,-125.766667,105,yes,,
KLNG-20-3,Populus trichocarpa,Klinaklini,20,KLNG,68,51.3,-125.766667,105,yes,,
KLNG-20-4,Populus trichocarpa,Klinaklini,20,KLNG,68,51.3,-125.766667,105,yes,,
KLNG-20-5,Populus trichocarpa,Klinaklini,20,KLNG,68,51.3,-125.766667,105,no,d<0.018 with other accession,
KLNG-20-6,Populus trichocarpa,Klinaklini,20,KLNG,68,51.3,-125.766667,105,yes,,
KLNG-20-7,Populus trichocarpa,Klinaklini,20,KLNG,68,51.3,-125.766667,105,yes,,
MCFA-20-1,Populus trichocarpa,Klinaklini,20,MCFA,69,51.316667,-126.233333,275,yes,,
MCFA-20-2,Populus trichocarpa,Klinaklini,20,MCFA,69,51.316667,-126.233333,275,yes,,
MCFA-20-3,Populus trichocarpa,Klinaklini,20,MCFA,69,51.316667,-126.233333,275,yes,,
MCFA-20-4,Populus trichocarpa,Klinaklini,20,MCFA,69,51.316667,-126.233333,275,yes,,
MCFA-20-5,Populus trichocarpa,Klinaklini,20,MCFA,69,51.316667,-126.233333,275,yes,,
MCFA-20-6,Populus trichocarpa,Klinaklini,20,MCFA,69,51.316667,-126.233333,275,yes,,
HOMA-21-1,Populus trichocarpa,Homathko,21,HOMA,70,50.933333,-124.85,46,yes,,
HOMA-21-2,Populus trichocarpa,Homathko,21,HOMA,70,50.933333,-124.85,46,yes,,
HOMA-21-4,Populus trichocarpa,Homathko,21,HOMA,70,50.933333,-124.85,46,yes,,
HOMA-21-5,Populus trichocarpa,Homathko,21,HOMA,70,50.933333,-124.85,46,yes,,
HOMB-21-1,Populus trichocarpa,Homathko,21,HOMB,71,50.95,-124.9,37,yes,,
HOMB-21-2,Populus trichocarpa,Homathko,21,HOMB,71,50.95,-124.9,37,yes,,
HOMB-21-3,Populus trichocarpa,Homathko,21,HOMB,71,50.95,-124.9,37,yes,,
HOMB-21-4,Populus trichocarpa,Homathko,21,HOMB,71,50.95,-124.9,37,yes,,
HOMB-21-5,Populus trichocarpa,Homathko,21,HOMB,71,50.95,-124.9,37,yes,,
HOMC-21-1,Populus trichocarpa,Homathko,21,HOMC,72,51.233333,-124.95,88,yes,,
HOMC-21-2,Populus trichocarpa,Homathko,21,HOMC,72,51.233333,-124.95,88,yes,,
HOMC-21-3,Populus trichocarpa,Homathko,21,HOMC,72,51.233333,-124.95,88,yes,,
HOMC-21-4,Populus trichocarpa,Homathko,21,HOMC,72,51.233333,-124.95,88,yes,,
HOMC-21-5,Populus trichocarpa,Homathko,21,HOMC,72,51.233333,-124.95,88,yes,,
HOMD-21-1,Populus trichocarpa,Homathko,21,HOMD,73,51.283333,-124.833333,152,yes,,
HOMD-21-2,Populus trichocarpa,Homathko,21,HOMD,73,51.283333,-124.833333,152,yes,,
HOMD-21-3,Populus trichocarpa,Homathko,21,HOMD,73,51.283333,-124.833333,152,yes,,
HOMD-21-4,Populus trichocarpa,Homathko,21,HOMD,73,51.283333,-124.833333,152,yes,,
HOMD-21-5,Populus trichocarpa,Homathko,21,HOMD,73,51.283333,-124.833333,152,yes,,
STHA-21-2,Populus trichocarpa,Homathko,21,STHA,74,50.816667,-124.483333,239,no,d<0.018 with other accession,
STHA-21-3,Populus trichocarpa,Homathko,21,STHA,74,50.816667,-124.483333,239,yes,,
